CODE,day,t,dn,dc,cc,BS,DP,DN,SS,SB
CODE_1.SZ,20241230,9:31:17:090,2183964,C,0, ,0,500,782838,0
CODE_1.SZ,20241230,9:31:18:330,2197564,0,0,S,4.56,1000,2197563,695138
CODE_1.SZ,20241230,9:31:20:110,2219095,0,0,S,4.56,100,2219094,695138
CODE_1.SZ,20241230,9:31:20:580,2223974,0,0,B,4.57,500,2184629,2223973
CODE_1.SZ,20241230,9:31:21:300,2231676,0,0,B,4.57,2000,2184629,2231675
CODE_1.SZ,20241230,9:31:23:420,2259685,0,0,B,4.57,1000,2184629,2259684
CODE_1.SZ,20241230,9:31:23:880,2264131,0,0,S,4.56,500,2264130,695138
CODE_1.SZ,20241230,9:31:24:500,2271258,C,0, ,0,14200,1036616,0
CODE_1.SZ,20241230,9:31:24:670,2273659,0,0,B,4.57,9500,2184629,2273658
CODE_1.SZ,20241230,9:31:24:670,2273660,0,0,B,4.57,4300,2184630,2273658
CODE_1.SZ,20241230,9:31:24:950,2277203,C,0, ,0,3000,656257,0
CODE_1.SZ,20241230,9:31:25:070,2278636,C,0, ,0,3000,649106,0
CODE_1.SZ,20241230,9:31:27:850,2310666,0,0,S,4.57,12000,2310665,2273658
CODE_1.SZ,20241230,9:31:28:110,2313194,0,0,S,4.57,2900,2313193,2273658
CODE_1.SZ,20241230,9:31:28:450,2317297,0,0,S,4.57,1200,2317296,2273658
CODE_1.SZ,20241230,9:31:28:930,2322207,0,0,S,4.57,400,2322206,2279361
CODE_1.SZ,20241230,9:31:29:360,2326234,0,0,S,4.57,100,2326233,2279361
CODE_1.SZ,20241230,9:31:29:370,2326314,0,0,S,4.57,100,2326313,2279361
CODE_1.SZ,20241230,9:31:30:250,2334242,0,0,S,4.57,400,2334241,2279361
CODE_1.SZ,20241230,9:31:30:250,2334243,0,0,S,4.57,2600,2334241,2332447
CODE_1.SZ,20241230,9:31:30:380,2335879,0,0,S,4.57,3100,2335878,2332447
CODE_1.SZ,20241230,9:31:30:380,2335895,0,0,S,4.57,1700,2335894,2332447
CODE_1.SZ,20241230,9:31:30:440,2336655,0,0,S,4.57,100,2336654,2332447
CODE_1.SZ,20241230,9:31:30:800,2340922,0,0,S,4.57,1400,2340921,2332447
CODE_1.SZ,20241230,9:31:30:820,2341315,0,0,S,4.57,1100,2341314,2332447
CODE_1.SZ,20241230,9:31:30:820,2341316,0,0,S,4.57,1000,2341314,2334960
CODE_1.SZ,20241230,9:31:30:850,2341615,C,0, ,0,300,2005290,0
CODE_1.SZ,20241230,9:31:31:130,2344529,0,0,S,4.57,2000,2344528,2341526
CODE_1.SZ,20241230,9:31:31:360,2347632,C,0, ,0,800,0,613273
CODE_1.SZ,20241230,9:31:31:500,2349581,0,0,S,4.57,200,2349580,2341682
CODE_1.SZ,20241230,9:31:32:890,2363501,0,0,S,4.57,200,2363500,2341682
CODE_1.SZ,20241230,9:31:33:820,2375426,C,0, ,0,300,2004217,0
CODE_1.SZ,20241230,9:31:33:920,2376681,0,0,B,4.57,200,2364150,2376680
CODE_1.SZ,20241230,9:31:34:020,2378079,C,0, ,0,900,2161191,0
CODE_1.SZ,20241230,9:31:34:560,2386598,0,0,S,4.57,300,2386597,2376680
CODE_1.SZ,20241230,9:31:34:560,2386599,0,0,S,4.57,5000,2386597,2386367
CODE_1.SZ,20241230,9:31:35:190,2394111,0,0,B,4.57,300,2388288,2394110
CODE_1.SZ,20241230,9:31:35:770,2400408,0,0,B,4.57,2300,2388288,2400407
CODE_1.SZ,20241230,9:31:35:870,2401207,0,0,S,4.57,2700,2401206,2400407
CODE_1.SZ,20241230,9:31:35:920,2401743,0,0,S,4.57,2000,2401742,2401311
CODE_1.SZ,20241230,9:31:35:930,2401849,0,0,S,4.57,2500,2401848,2401649
CODE_1.SZ,20241230,9:31:36:840,2414227,0,0,B,4.57,1000,2402046,2414226
CODE_1.SZ,20241230,9:31:37:050,2416700,0,0,B,4.57,1900,2402046,2416699
CODE_1.SZ,20241230,9:31:37:050,2416701,0,0,B,4.57,300,2412284,2416699
CODE_1.SZ,20241230,9:31:37:470,2422530,0,0,B,4.57,100,2412284,2422529
CODE_1.SZ,20241230,9:31:37:470,2422531,0,0,B,4.57,100,2414055,2422529
CODE_1.SZ,20241230,9:31:37:890,2426731,0,0,B,4.57,100,2414055,2426730
CODE_1.SZ,20241230,9:31:37:890,2426732,0,0,B,4.57,2700,2419976,2426730
CODE_1.SZ,20241230,9:31:37:890,2426733,0,0,B,4.58,2000,2179513,2426730
CODE_1.SZ,20241230,9:31:37:890,2426734,0,0,B,4.58,700,2218029,2426730
CODE_1.SZ,20241230,9:31:37:890,2426735,0,0,B,4.58,1700,2239080,2426730
CODE_1.SZ,20241230,9:31:37:890,2426736,0,0,B,4.58,2800,2274745,2426730
CODE_1.SZ,20241230,9:31:38:480,2432440,0,0,B,4.57,2000,2431305,2432439
CODE_1.SZ,20241230,9:31:39:320,2440912,0,0,B,4.58,2200,2274745,2440911
CODE_1.SZ,20241230,9:31:39:950,2448410,C,0, ,0,1500,96337,0
CODE_1.SZ,20241230,9:31:40:920,2458929,0,0,S,4.57,1000,2458928,2432439
CODE_1.SZ,20241230,9:31:41:180,2461469,0,0,B,4.58,8500,2274745,2461468
CODE_1.SZ,20241230,9:31:41:180,2461470,0,0,B,4.58,3100,2362570,2461468
CODE_1.SZ,20241230,9:31:42:370,2472592,0,0,S,4.57,800,2472591,2432439
CODE_1.SZ,20241230,9:31:42:450,2473412,0,0,S,4.57,6200,2473411,2432439
CODE_1.SZ,20241230,9:31:42:450,2473413,0,0,S,4.57,500,2473411,2438919
CODE_1.SZ,20241230,9:31:42:450,2473414,0,0,S,4.57,500,2473411,2440769
CODE_1.SZ,20241230,9:31:42:450,2473415,0,0,S,4.57,1000,2473411,2456298
CODE_1.SZ,20241230,9:31:42:450,2473416,0,0,S,4.57,100,2473411,2467950
CODE_1.SZ,20241230,9:31:42:450,2473417,0,0,S,4.57,2000,2473411,2470602
CODE_1.SZ,20241230,9:31:42:640,2475713,C,0, ,0,1000,0,2374959
CODE_1.SZ,20241230,9:31:43:640,2486654,0,0,B,4.57,9100,2473411,2486653
CODE_1.SZ,20241230,9:31:45:090,2499190,C,0, ,0,20000,1143666,0
CODE_1.SZ,20241230,9:31:45:620,2504576,0,0,S,4.57,5200,2504575,2486653
CODE_1.SZ,20241230,9:31:46:500,2514066,0,0,S,4.57,600,2514065,2486653
CODE_1.SZ,20241230,9:31:48:260,2529355,C,0, ,0,600,1435499,0
CODE_1.SZ,20241230,9:31:48:580,2532933,0,0,S,4.57,9500,2532932,2486653
CODE_1.SZ,20241230,9:31:48:580,2532934,0,0,S,4.57,100,2532932,2488846
CODE_1.SZ,20241230,9:31:48:580,2532935,0,0,S,4.57,1200,2532932,2489371
CODE_1.SZ,20241230,9:31:48:580,2532936,0,0,S,4.57,1700,2532932,2489695
CODE_1.SZ,20241230,9:31:52:350,2568099,0,0,S,4.57,18300,2568098,2489695
CODE_1.SZ,20241230,9:31:52:350,2568100,0,0,S,4.57,900,2568098,2491443
CODE_1.SZ,20241230,9:31:52:350,2568101,0,0,S,4.57,3000,2568098,2495468
CODE_1.SZ,20241230,9:31:52:350,2568102,0,0,S,4.57,1700,2568098,2496388
CODE_1.SZ,20241230,9:31:52:350,2568103,0,0,S,4.57,2000,2568098,2500165
CODE_1.SZ,20241230,9:31:52:350,2568104,0,0,S,4.57,4100,2568098,2506676
CODE_1.SZ,20241230,9:31:53:070,2574186,0,0,B,4.58,500,2362570,2574185
